,error_rate,accuracy,homogeneity,completeness,triplicate,umi_length
106,0.06,0.94,0.995453885,0.99563324,3,50
107,0.04,0.96,0.997969861,0.998150387,3,50
108,0.2,0.8,0.991757869,0.814513021,1,60
109,0.18,0.82,0.993982822,0.865586887,1,60
110,0.16,0.84,0.995724397,0.920992494,1,60
111,0.14,0.86,0.993106874,0.961483723,1,60
112,0.12,0.88,0.994145244,0.982826794,1,60
113,0.1,0.9,0.989386988,0.988124502,1,60
114,0.08,0.92,0.994870314,0.994886752,1,60
115,0.06,0.94,0.991001512,0.991563932,1,60
116,0.04,0.96,0.996135004,0.996428723,1,60
117,0.2,0.8,0.99117736,0.810959897,2,60
118,0.18,0.82,0.993966026,0.864802813,2,60
119,0.16,0.84,0.992225788,0.919783258,2,60
120,0.14,0.86,0.99316805,0.96228136,2,60
121,0.12,0.88,0.989149784,0.980879703,2,60
122,0.1,0.9,0.994383418,0.992454071,2,60
123,0.08,0.92,0.99487399,0.994806408,2,60
124,0.06,0.94,0.995837499,0.996009917,2,60
125,0.04,0.96,0.997760645,0.998071404,2,60
126,0.2,0.8,0.994839024,0.804180542,3,60
127,0.18,0.82,0.982436819,0.878196214,3,60
128,0.16,0.84,0.985743793,0.924498537,3,60
129,0.14,0.86,0.989182898,0.961374347,3,60
130,0.12,0.88,0.99386348,0.983437335,3,60
131,0.1,0.9,0.994023706,0.992518652,3,60
132,0.08,0.92,0.994299628,0.994346353,3,60
133,0.06,0.94,0.995233947,0.99555115,3,60
134,0.04,0.96,0.99266865,0.993422647,3,60
135,0.2,0.8,0.993463515,0.834557678,1,70
136,0.18,0.82,0.991783884,0.897650112,1,70
137,0.16,0.84,0.980477864,0.943707172,1,70
138,0.14,0.86,0.994951169,0.976116965,1,70
139,0.12,0.88,0.990810279,0.986876519,1,70
140,0.1,0.9,0.991333954,0.990884805,1,70
141,0.08,0.92,0.995740572,0.995789606,1,70
142,0.06,0.94,0.993268081,0.993592218,1,70
143,0.04,0.96,0.995765339,0.996210719,1,70
144,0.2,0.8,0.988783039,0.841829421,2,70
145,0.18,0.82,0.986969764,0.900740547,2,70
146,0.16,0.84,0.989086818,0.94448177,2,70
147,0.14,0.86,0.990403565,0.975049395,2,70
148,0.12,0.88,0.991354284,0.98825935,2,70
149,0.1,0.9,0.994726836,0.994304126,2,70
150,0.08,0.92,0.992234246,0.992456077,2,70
151,0.06,0.94,0.992209325,0.992539964,2,70
152,0.04,0.96,0.996679619,0.996950132,2,70
153,0.2,0.8,0.993160083,0.834934398,3,70
154,0.18,0.82,0.986999439,0.903358649,3,70
155,0.16,0.84,0.988690368,0.944535367,3,70
156,0.14,0.86,0.98983961,0.974014437,3,70
157,0.12,0.88,0.991201519,0.988022354,3,70
158,0.1,0.9,0.992173116,0.99201379,3,70
159,0.08,0.92,0.991688133,0.991768264,3,70
160,0.06,0.94,0.998106097,0.998146641,3,70
161,0.04,0.96,0.994087468,0.994464454,3,70
162,0.2,0.8,0.991872641,0.861883702,1,80
163,0.18,0.82,0.990030577,0.922744744,1,80
164,0.16,0.84,0.985542671,0.959747873,1,80
165,0.14,0.86,0.986550992,0.979824784,1,80
166,0.12,0.88,0.987246713,0.985981905,1,80
167,0.1,0.9,0.993571536,0.993434151,1,80
168,0.08,0.92,0.992979101,0.993128438,1,80
169,0.06,0.94,0.994221598,0.994390584,1,80
170,0.04,0.96,0.995099168,0.995370819,1,80
171,0.2,0.8,0.977442259,0.873834939,2,80
172,0.18,0.82,0.989699674,0.92207986,2,80
173,0.16,0.84,0.985243921,0.959243045,2,80
174,0.14,0.86,0.986774195,0.978894431,2,80
175,0.12,0.88,0.986931496,0.986036671,2,80
176,0.1,0.9,0.993349343,0.993395661,2,80
177,0.08,0.92,0.993426933,0.993654388,2,80
178,0.06,0.94,0.996613565,0.996712747,2,80
179,0.04,0.96,0.994360037,0.995005261,2,80
180,0.2,0.8,0.986120823,0.864443666,3,80
181,0.18,0.82,0.982892012,0.920797983,3,80
182,0.16,0.84,0.991806774,0.961344571,3,80
183,0.14,0.86,0.992375577,0.983064421,3,80
184,0.12,0.88,0.987082017,0.986183719,3,80
185,0.1,0.9,0.992910869,0.992888808,3,80
186,0.08,0.92,0.996303224,0.996332025,3,80
187,0.06,0.94,0.997002834,0.997070842,3,80
188,0.04,0.96,0.997200478,0.997395918,3,80
189,0.2,0.8,0.982713646,0.88318213,1,90
190,0.18,0.82,0.992539283,0.937237827,1,90
191,0.16,0.84,0.989083491,0.969439238,1,90
192,0.14,0.86,0.99019422,0.986263549,1,90
193,0.12,0.88,0.990494494,0.990146384,1,90
194,0.1,0.9,0.994856732,0.994862849,1,90
195,0.08,0.92,0.99548408,0.995556032,1,90
196,0.06,0.94,0.995329592,0.995560975,1,90
197,0.04,0.96,0.9959247,0.9962572,1,90
198,0.2,0.8,0.983138112,0.884979617,2,90
199,0.18,0.82,0.987521519,0.937064694,2,90
200,0.16,0.84,0.98799951,0.969328677,2,90
201,0.14,0.86,0.989477216,0.984528701,2,90
202,0.12,0.88,0.99447299,0.993727224,2,90
203,0.1,0.9,0.994486812,0.994577932,2,90
204,0.08,0.92,0.997311228,0.997360256,2,90
205,0.06,0.94,0.995380552,0.995623071,2,90
206,0.04,0.96,0.994600687,0.995343054,2,90
207,0.2,0.8,0.990517425,0.883314513,3,90
208,0.18,0.82,0.992670863,0.935784623,3,90
209,0.16,0.84,0.979556011,0.964554295,3,90
210,0.14,0.86,0.989486204,0.985044318,3,90
211,0.12,0.88,0.994147652,0.993473844,3,90
212,0.1,0.9,0.990524998,0.990657797,3,90
213,0.08,0.92,0.995916432,0.995961022,3,90
214,0.06,0.94,0.995801937,0.996040631,3,90
215,0.04,0.96,0.993113189,0.993724339,3,90
216,0.2,0.8,0.993409163,0.89831724,1,100
217,0.18,0.82,0.985320004,0.948925907,1,100
218,0.16,0.84,0.985264979,0.97292964,1,100
219,0.14,0.86,0.992206632,0.989885227,1,100
220,0.12,0.88,0.992732315,0.992648164,1,100
221,0.1,0.9,0.993178067,0.993242746,1,100
222,0.08,0.92,0.992682373,0.992866364,1,100
223,0.06,0.94,0.994026381,0.994266937,1,100
224,0.04,0.96,0.994991041,0.995338372,1,100
225,0.2,0.8,0.993337728,0.898083608,2,100
226,0.18,0.82,0.984007452,0.948318258,2,100
227,0.16,0.84,0.992047349,0.978691804,2,100
228,0.14,0.86,0.986106702,0.984410339,2,100
229,0.12,0.88,0.99313024,0.992946324,2,100
230,0.1,0.9,0.992614887,0.992711331,2,100
231,0.08,0.92,0.99375684,0.993828011,2,100
232,0.06,0.94,0.994316008,0.994491749,2,100
233,0.04,0.96,0.995196589,0.995572874,2,100
234,0.2,0.8,0.993598139,0.895866336,3,100
235,0.18,0.82,0.983689019,0.946885879,3,100
236,0.16,0.84,0.985508594,0.975186905,3,100
237,0.14,0.86,0.985758284,0.983412061,3,100
238,0.12,0.88,0.992265107,0.992081266,3,100
239,0.1,0.9,0.995544152,0.995551077,3,100
240,0.08,0.92,0.993213672,0.993370585,3,100
241,0.06,0.94,0.994361255,0.994627456,3,100
242,0.04,0.96,0.989818729,0.990855043,3,100
